Date,Open,High,Low,Close,Adj Close,Volume
2017-05-25,18195.000000,18500.000000,18195.000000,18454.400391,18454.400391,2026
2017-05-26,18455.000000,18455.000000,18344.599609,18392.300781,18392.300781,564
2017-05-29,18430.000000,18430.000000,18391.099609,18392.300781,18392.300781,8
2017-05-30,18430.099609,18672.400391,18430.099609,18650.000000,18650.000000,1710
2017-05-31,18700.000000,18711.400391,18465.599609,18560.000000,18560.000000,1904
2017-06-01,18489.000000,18519.900391,18418.000000,18497.599609,18497.599609,1262
2017-06-02,18538.199219,18846.000000,18538.199219,18822.000000,18822.000000,996
2017-06-05,18590.000000,18637.099609,18532.000000,18556.199219,18556.199219,1701
2017-06-06,18500.000000,18559.800781,18302.699219,18318.500000,18318.500000,1526
2017-06-07,18369.900391,18411.300781,18317.000000,18393.900391,18393.900391,1189
2017-06-08,18374.000000,18400.000000,18344.699219,18362.800781,18362.800781,850
2017-06-09,18402.599609,18402.599609,17600.000000,17734.500000,17734.500000,3741
2017-06-12,17720.000000,17869.400391,17200.000000,17530.000000,17530.000000,7364
2017-06-13,17703.000000,17784.000000,17562.300781,17747.599609,17747.599609,7755
2017-06-14,17650.300781,17735.699219,17474.199219,17550.000000,17550.000000,1005
